56	0
57	2
25	4
58	6
35	8
5	10
8	12
80	150
6	14
12	16
15	18
50	20
45	22
51	24
24	26
81	151
43	28
17	30
31	34
18	36
36	38
44	40
82	152
29	42
22	44
27	46
37	48
40	50
14	52
10	54
83	153
54	56
55	58
48	60
53	62
52	64
3	66
4	68
84	154
46	70
26	72
2	74
33	76
34	78
32	80
41	82
85	155
21	84
19	86
39	88
38	90
42	92
9	94
1	96
86	156
20	98
30	100
11	104
0	106
23	102
49	108
28	110
87	157
59	118
07	112
69	112
47	115
72	115
16	114
71	114
13	113
70	113
60	120
61	130
88	158
74	139
73	138
75	140
78	143
77	142
76	141
67	137
79	144
66	136
64	134
65	135
63	133
62	132
89	171
90	170
91	168
92	172
94	169
95	173
96	192
97	193
98	194
99	195
100	196
