//description of puzzle's positions and order of discovering. x pos -> y pos -> when discovered
//Castle
7	8	39
7	30	41
7	102	1
7	156	23
7	202	6
7	320	13
16	8	39
22	406	2
70	301	22
72	194	11
101	332	8
106	8	9
106	31	29
114	60	7
126	329	17
128	191	21
152	347	27
154	239	31
157	429	34
166	470	4
185	127	30
212	335	36
214	191	48
217	226	43
235	147	35
245	77	16
266	384	42
288	288	45
298	8	26
321	177	46
346	67	38
354	459	20
355	397	25
375	162	28
382	255	32
408	32	37
408	111	14
421	147	19
422	466	12
426	8	15
436	238	24
458	336	44
486	8	40
487	144	33
517	145	18
520	68	5
524	234	10
525	327	3
//Rampart
7	8	2
7	101	13
7	195	20
7	310	6
7	378	22
7	449	21
61	8	19
97	42	8
98	201	24
108	308	36
115	461	1
129	366	7
134	8	4
157	188	25
160	309	39
162	441	11
164	126	28
174	390	33
178	188	46
187	258	41
190	24	38
215	272	45
255	443	9
265	323	40
277	45	47
278	383	27
292	196	43
294	266	48
310	8	17
330	493	16
339	8	12
339	167	29
344	108	35
361	239	31
363	385	44
398	310	42
400	130	23
404	436	32
421	127	26
429	8	37
430	106	30
462	393	14
469	270	10
486	8	3
499	481	15
511	255	34
516	48	18
525	169	5
//Tower
7	8	1
7	52	13
7	243	8
7	486	22
26	391	7
27	31	23
27	89	31
28	303	20
28	336	25
37	234	33
59	77	6
76	462	15
91	245	34
114	31	19
118	323	42
132	87	36
163	370	40
171	255	21
192	8	28
212	483	38
228	95	44
231	205	46
293	380	10
297	190	43
297	260	48
298	8	17
298	89	35
312	462	29
320	261	45
340	17	37
350	121	12
350	174	41
355	371	27
357	469	3
376	289	11
388	8	4
407	45	47
421	284	30
436	159	39
445	8	18
445	211	26
463	422	24
477	29	2
497	153	5
499	108	14
503	281	16
537	418	9
556	215	32
//Inferno
7	8	30
7	16	2
7	95	12
7	271	27
7	308	8
7	464	1
16	164	26
41	378	39
50	471	13
51	101	17
80	260	35
81	48	4
91	143	47
115	8	25
141	360	28
153	269	41
164	55	44
173	101	36
173	492	6
187	160	48
194	388	19
200	373	20
204	282	45
239	469	11
240	8	32
271	163	43
276	255	46
296	428	3
297	281	16
306	8	10
317	17	15
327	84	29
348	142	40
348	342	21
370	405	22
401	103	18
407	40	31
421	508	7
453	215	33
455	377	34
460	170	38
475	319	42
488	412	37
504	8	24
515	67	5
517	211	14
532	305	23
556	335	9
//Necropolis
7	8	22
7	188	1
7	329	20
7	403	24
8	8	47
14	138	30
15	8	9
34	374	31
55	82	25
55	150	38
57	281	8
94	188	36
108	344	6
119	424	13
124	256	37
131	8	7
139	92	11
145	371	29
148	42	21
175	200	44
200	291	45
201	66	42
210	482	18
247	98	28
250	227	48
262	8	15
293	373	32
303	286	46
318	173	43
345	444	2
356	8	5
357	386	17
362	38	40
382	8	19
382	119	35
421	164	27
422	249	4
428	52	14
429	101	10
443	132	41
452	239	34
465	441	23
469	300	39
476	20	3
537	249	33
547	430	12
559	140	26
558	8	16
//Dungeon
7	8	31
7	125	1
7	353	33
7	394	6
30	101	36
33	219	16
57	171	13
62	8	47
63	90	41
83	471	10
94	117	21
99	8	5
113	258	32
156	146	28
165	288	42
172	388	44
177	36	39
194	235	46
204	502	3
236	320	23
238	8	20
245	75	25
247	396	29
247	459	14
253	152	48
301	233	43
323	8	12
323	178	45
328	342	30
329	428	19
339	8	26
357	141	27
374	8	15
374	236	34
392	439	35
400	291	40
401	103	18
422	381	37
436	8	17
438	336	24
449	131	9
453	161	11
471	267	38
477	64	22
480	456	8
485	8	2
536	197	4
541	22	7
//Stronghold
7	8	6
7	229	14
7	405	15
7	465	10
12	8	9
32	245	21
32	277	33
36	337	19
39	15	36
47	115	23
49	178	25
70	8	1
101	35	41
111	311	44
123	156	45
138	423	32
140	224	43
144	136	11
149	452	18
158	475	5
191	68	7
202	12	39
218	349	34
219	285	42
222	96	28
262	8	8
279	166	48
279	425	22
303	314	27
320	109	16
326	146	47
333	160	46
362	26	4
365	441	17
380	297	38
392	242	29
427	275	40
445	85	2
446	424	30
459	347	37
463	53	24
484	210	20
488	8	26
489	303	35
529	8	31
529	421	3
558	87	13
563	261	12
//Fortress
7	8	36
7	152	25
7	306	34
7	388	23
7	434	15
23	417	37
32	232	38
42	137	39
47	440	8
56	19	47
71	8	1
87	219	30
90	26	41
104	397	33
116	345	40
134	215	11
175	168	19
191	428	13
200	326	24
216	98	18
221	398	20
225	235	46
239	8	9
245	40	7
248	208	48
261	439	5
262	134	26
297	352	22
309	99	16
320	262	43
323	404	10
326	200	45
331	20	17
345	178	21
353	8	3
358	290	42
381	399	14
400	65	12
428	160	35
448	293	29
451	94	27
453	424	2
462	397	32
465	8	4
486	163	44
492	184	31
517	304	6
549	8	28
//Conflux
7	8	1
7	54	6
7	227	16
7	426	9
15	48	22
45	375	32
48	249	28
86	500	15
93	55	37
99	245	7
101	354	27
104	175	35
107	14	21
124	296	38
134	8	4
181	466	26
182	200	40
189	381	33
192	40	8
192	364	11
201	124	48
203	330	42
228	293	45
235	39	25
242	335	44
275	488	5
278	202	46
290	80	13
291	115	20
308	225	43
310	158	39
312	24	12
317	8	2
323	443	10
327	253	41
330	36	36
349	330	34
349	426	17
407	191	47
421	430	31
428	246	23
467	90	29
481	13	30
489	346	18
504	113	19
504	190	24
507	8	14
542	436	3
