0	0	0
0	1	2
0	2	4
0	3	6
0	4	8
0	5	10
0	6	12
0	7	150
1	0	14
1	1	16
1	2	18
1	3	20
1	4	22
1	5	24
1	6	26
1	7	151
2	0	28
2	1	30
2	2	32
2	3	34
2	4	36
2	5	38
2	6	40
2	7	152
3	0	42
3	1	44
3	2	46
3	3	48
3	4	50
3	5	52
3	6	54
3	7	153
4	0	56
4	1	58
4	2	60
4	3	62
4	4	64
4	5	66
4	6	68
4	7	154
5	0	70
5	1	72
5	2	74
5	3	76
5	4	78
5	5	80
5	6	82
5	7	155
6	0	84
6	1	86
6	2	88
6	3	90
6	4	92
6	5	94
6	6	96
6	7	156
7	0	98
7	1	100
7	2	104
7	3	106
7	4	102
7	5	108
7	6	110
7	7	157
8	0	118
8	1	112
8	2	115
8	3	114
8	4	113
8	5	120
8	6	130
8	7	158
