//heroes'_inintial_set_of_secondary_abilities_format:_heroID,_sex_numberOfInitialSecSkills_(Skill_ID,_skill_lvl_for_every_skill)
0	0	2	6	1	1	1
1	1	2	6	1	1	1
2	0	2	6	1	23	1
3	1	2	6	1	5	1
4	0	2	6	1	13	1
5	1	2	6	1	22	1
6	0	2	6	1	20	1
7	1	2	6	1	19	1
8	0	2	7	1	27	1
9	1	2	7	1	4	1
10	0	2	7	1	13	1
11	1	1	7	2		
12	0	2	7	1	8	1
13	1	2	7	1	11	1
14	0	2	7	1	21	1
15	1	2	7	1	24	1
16	1	2	6	1	23	1
17	0	2	9	1	26	1
18	1	1	1	2		
19	0	2	4	1	6	1
20	0	1	26	2		
21	0	2	1	1	22	1
22	0	2	0	1	26	1
23	1	2	1	1	2	1
24	0	2	7	1	18	1
25	0	2	7	2	10	1
26	0	2	7	1	24	1
27	1	2	7	1	27	1
28	0	2	7	1	11	1
29	1	2	7	1	9	1
30	0	2	7	1	25	1
31	0	2	7	1	3	1
32	0	2	3	1	8	1
33	0	1	18	2		
34	1	2	8	1	25	1
35	1	2	18	1	23	1
36	0	2	8	1	19	1
37	0	2	18	1	26	1
38	1	2	8	1	22	1
39	1	2	18	1	24	1
40	0	1	7	2		
41	0	2	7	1	8	1
42	1	2	7	1	11	1
43	1	2	7	1	24	1
44	0	2	7	1	10	1
45	0	2	7	1	25	1
46	1	2	7	1	4	1
47	1	2	7	1	18	1
48	1	1	3	2		
49	0	2	7	1	18	1
50	1	1	23	2		
51	0	2	19	1	26	1
52	1	2	18	1	22	1
53	0	2	1	1	3	1
54	1	2	20	1	2	1
55	1	1	22	2		
56	0	2	7	1	24	1
57	0	2	7	1	18	1
58	0	2	7	1	8	1
59	1	2	7	1	10	1
60	0	2	7	1	21	1
61	1	2	7	1	11	1
62	0	2	7	1	25	1
63	0	2	7	1	6	1
64	0	2	12	1	26	1
65	0	2	12	1	20	1
66	0	2	12	1	21	1
67	1	2	12	1	19	1
68	1	2	12	1	22	1
69	1	1	12	2		
70	0	2	12	1	22	1
71	0	2	12	1	23	1
72	1	2	12	1	18	1
73	1	2	12	1	7	1
74	0	2	12	1	25	1
75	0	2	12	1	11	1
76	0	2	12	1	8	1
77	1	2	12	1	21	1
78	1	1	12	2		
79	0	2	12	1	24	1
80	1	2	3	1	6	1
81	0	2	20	1	22	1
82	0	2	19	1	22	1
83	0	2	6	1	26	1
84	0	1	22	2		
85	0	2	2	1	19	1
86	1	2	6	1	18	1
87	0	2	19	1	22	1
88	0	2	7	1	18	1
89	0	2	7	1	8	1
90	0	2	7	1	25	1
91	1	1	7	2		
92	0	2	7	1	11	1
93	0	2	7	1	3	2
94	1	2	7	1	24	1
95	0	2	7	1	21	1
96	0	2	22	1	10	1
97	0	2	22	1	20	1
98	0	2	22	1	1	1
99	1	2	22	1	3	1
100	1	2	22	1	0	1
101	0	2	22	1	26	1
102	0	1	22	2		
103	0	2	22	1	19	1
104	1	2	7	1	25	1
105	0	2	7	1	6	1
106	1	2	7	1	2	1
107	0	2	7	1	19	1
108	0	2	7	1	20	1
109	1	2	7	1	22	1
110	1	2	7	1	11	1
111	0	2	7	1	26	1
112	0	2	23	1	26	1
113	0	2	23	1	6	1
114	0	2	23	1	1	1
115	0	1	23	2		
116	0	2	23	1	22	1
117	0	2	23	1	0	1
118	0	2	23	1	20	1
119	0	2	23	1	3	1
120	1	1	7	2		
121	1	2	7	1	8	1
122	1	2	7	1	5	1
123	1	2	7	1	27	1
124	1	2	7	1	21	1
125	1	2	7	1	25	1
126	1	2	7	1	24	1
127	1	2	7	1	11	1
128	1	2	20	1	22	1
129	1	2	13	1	19	1
130	1	2	20	1	22	1
131	1	1	19	2		
132	0	2	2	1	22	1
133	0	2	13	1	19	1
134	0	1	22	2		
135	0	2	19	1	21	1
136	1	2	7	1	14	1
137	1	2	7	1	15	1
138	1	2	7	1	16	1
139	1	2	7	1	17	1
140	0	2	7	1	14	1
141	0	2	7	1	15	1
142	0	2	7	1	16	1
143	0	2	7	1	17	1
144	0	1	6	2		
145	1	2	7	1	14	3
146	1	2	6	1	22	1
147	0	1	7	2		
148	0	2	1	1	6	1
149	0	1	22	2		
150	0	1	12	2		
151	1	2	13	1	19	1
152	0	2	6	1	23	1
153	1	2	13	1	19	1
154	0	2	19	1	22	1
155	0	2	6	1	19	1
-1
