0	1
1	1
2	2
3	2
4	3
5	3
6	4
7	4
8	5
9	5
10	6
11	6
12	7
13	7
14	1
15	1
16	2
17	2
18	3
19	3
20	4
21	4
22	5
23	5
24	6
25	6
26	7
27	7
28	1
29	1
30	2
31	2
32	3
33	3
34	4
35	4
36	5
37	5
38	6
39	6
40	7
41	7
42	1
43	1
44	2
45	2
46	3
47	3
48	4
49	4
50	5
51	5
52	6
53	6
54	7
55	7
56	1
57	1
58	2
59	2
60	3
61	3
62	4
63	4
64	5
65	5
66	6
67	6
68	7
69	7
70	1
71	1
72	2
73	2
74	3
75	3
76	4
77	4
78	5
79	5
80	6
81	6
82	7
83	7
84	1
85	1
86	2
87	2
88	3
89	3
90	4
91	4
92	5
93	5
94	6
95	6
96	7
97	7
98	1
99	1
100	2
101	2
102	3
103	3
104	4
105	4
106	5
107	5
108	6
109	6
110	7
111	7
112	2
113	5
114	4
115	3
116	4
117	5
118	1
119	1
120	6
121	6
122	000000
123	3
124	000000
125	5
126	000000
127	2
128	000000
129	4
130	7
131	7
132	10
133	10
134	8
135	10
136	6
137	4
138	1
139	1
140	2
141	3
142	3
143	2
144	5
145	000000
146	000000
147	000000
148	000000
149	000000
150	000000
151	8
152	8
153	8
154	8
155	8
156	8
157	8
158	8
159	000000
160	000000
161	000000
162	000000
163	000000
164	000000
165	000000
166	000000
167	000000
168	000000
169	000000
170	000000
171	000000
172	000000
173	000000
174	000000
175	000000
176	000000
177	000000
178	000000
179	000000
180	000000
181	000000
182	000000
183	000000
184	000000
185	000000
186	000000
187	000000
188	000000
189	000000
190	000000
191	000000
192	000000
193	000000
194	000000
195	000000
196	000000
