0	0	1
0	1	3
0	2	5
0	3	7
0	4	9
0	5	11
0	6	13
1	0	15
1	1	17
1	2	19
1	3	21
1	4	23
1	5	25
1	6	27
2	0	29
2	1	31
2	2	33
2	3	35
2	4	37
2	5	39
2	6	41
3	0	43
3	1	45
3	2	47
3	3	49
3	4	51
3	5	53
3	6	55
4	0	57
4	1	59
4	2	61
4	3	63
4	4	65
4	5	67
4	6	69
5	0	71
5	1	73
5	2	75
5	3	77
5	4	79
5	5	81
5	6	83
6	0	85
6	1	87
6	2	89
6	3	91
6	4	93
6	5	95
6	6	97
7	0	99
7	1	101
7	2	103
7	3	105
7	4	107
7	5	109
7	6	111
8	0	119
8	1	127
8	2	123
8	3	129
8	4	125
8	5	121
8	6	131
