-1	0	11
-1	1	12
-1	2	13
-1	3	7
-1	4	8
-1	5	9
-1	6	5
-1	7	16
-1	8	14
-1	9	15
-1	10	17
-1	11	0
-1	12	1
-1	13	2
-1	14	3
-1	15	4
-1	16	6
-1	17	26
-1	18	17
-1	19	22
-1	20	22
-1	21	23
-1	22	30
-1	23	37
-1	24	-1
-1	25	31
-1	26	38
-1	27	-2
-1	28	32
-1	29	39
-1	30	-3
-1	31	33
-1	32	40
-1	33	-4
-1	34	34
-1	35	41
-1	36	-5
-1	37	35
-1	38	42
-1	39	36
-1	40	43
0	20	21
1	19	21
2	18	22
2	19	23
2	20	21
3	20	23
3	18	21
4	19	21
5	20	23
5	18	21
6	19	21
7	20	17
7	18	22
7	19	21
8	18	21
